send_time,time_process,image_count,time_received
1733408506.5009444,68.81350183486938,0.0,1733408507.0697541
1733408512.0826125,2.562971830368042,1.0,1733408512.163865
1733408512.6588476,0.01591324806213379,2.0,1733408512.668597
1733408512.7694428,0.01957249641418457,3.0,1733408512.790074
1733408512.81282,0.018062591552734375,4.0,1733408512.854958
1733408512.8500443,0.016817569732666016,5.0,1733408512.854958
1733408512.9348345,0.025618791580200195,6.0,1733408512.949603
1733408512.9901018,0.015905380249023438,7.0,1733408513.010772
1733408513.0241761,0.016202211380004883,8.0,1733408513.094934
1733408513.0569115,0.016926288604736328,9.0,1733408513.094934
