Pruning Amount, Pre Fine-Tuning Accuracy [%], Pre Fine Tuning Accuracy,Post Fine-Tuning Accuracy [%], Final Accuracy, Post Fine-Tuning Time [s], Size [MB],,,,,,
0.0,0.582,58.200,0.518,51.800,0.125362434387207,527.7921447753910,,,,,,
2.0,0.457,45.700,0.616,61.600,0.12848782539367700,509.4286117553710,,,,,,
4.0,0.452,45.200,0.587,58.700,0.1206667423248290,491.88086318969700,,,,,,
6.0,0.349,34.900,0.574,57.400,0.12679409980773900,475.2605781555180,,,,,,
8.0,0.316,31.600,0.519,51.900,0.11859416961669900,437.9324073791500,,,,,,
10.0,0.199,19.900,0.489,48.900,0.13185739517211900,446.2145462036130,,,,,,
12.0,0.172,17.200,0.484,48.400,0.09530282020568850,438.7227478027340,,,,,,
14.0,0.114,11.400,0.49,49.000,0.1215369701385500,414.87701416015600,,,,,,
16.0,0.137,13.700,0.463,46.300,0.12713170051574700,401.08189392089800,,,,,,
18.0,0.049,4.900,0.437,43.700,0.11790323257446300,374.75711822509800,,,,,,
20.0,0.042,4.200,0.382,38.200,0.12822461128234900,383.0682907104490,,,,,,
22.0,0.015,1.500,0.394,39.400,0.12335467338562000,354.39682388305700,,,,,,
24.0,0.023,2.300,0.387,38.700,0.11763715744018600,346.55131912231400,,,,,,
26.0,0.021,2.100,0.358,35.800,0.08038330078125,352.32504653930700,,,,,,
28.0,0.013,1.300,0.256,25.600,0.08195257186889650,329.22561264038100,,,,,,
30.0,0.003,0.300,0.291,29.100,0.10176682472229000,315.2650260925290,,,,,,
32.0,0.005,0.500,0.242,24.200,0.11825132369995100,292.2446937561040,,,,,,
34.0,0.003,0.300,0.155,15.500,0.11724853515625,293.50952529907200,,,,,,
36.0,0.003,0.300,0.135,13.500,0.07608628273010250,285.27441787719700,,,,,,
38.0,0.0,0.000,0.103,10.300,0.12339973449707000,278.4389457702640,,,,,,
40.0,0.0,0.000,0.108,10.800,0.12081623077392600,267.36527252197300,,,,,,
42.0,0.002,0.200,0.038,3.800,0.12438559532165500,269.89864349365200,,,,,,
44.0,0.001,0.100,0.03,3.000,0.11701798439025900,241.09055709838900,,,,,,
46.0,0.002,0.200,0.02,2.000,0.12304568290710400,254.38198852539100,,,,,,
48.0,0.0,0.000,0.016,1.600,0.11872744560241700,218.0434799194340,,,,,,
50.0,0.0,0.000,0.004,0.400,0.11448311805725100,224.3697853088380,,,,,,
52.0,0.002,0.200,0.008,0.800,0.12220525741577100,212.3406639099120,,,,,,
54.0,0.001,0.100,0.008,0.800,0.11816596984863300,200.26912689209000,,,,,,
56.0,0.002,0.200,0.002,0.200,0.11993265151977500,209.6368179321290,,,,,,
58.0,0.001,0.100,0.003,0.300,0.10941624641418500,192.9134750366210,,,,,,
