pruning_amount,pre_acc,pre_comp_time,post_acc,post_comp_time,model_size
0,50.00,0.10,51.84,0.40,506.83
1,48.20,0.13,56.29,0.36,500.74
2,46.00,0.10,60.28,0.35,494.70
3,38.20,0.10,57.30,0.36,485.60
4,43.40,0.09,56.07,0.28,484.82
5,38.00,0.09,57.66,0.33,469.09
6,43.20,0.09,56.37,0.37,469.65
7,26.40,0.11,54.80,0.38,469.80
8,30.60,0.12,54.46,0.37,447.85
9,33.40,0.09,53.23,0.50,447.96
10,33.20,0.10,55.32,0.32,449.39
11,30.20,0.08,54.09,0.29,434.41
12,18.60,0.10,49.35,0.23,430.62
13,23.20,0.09,47.13,0.23,428.42
14,13.40,0.09,49.23,0.42,416.62
15,6.40,0.09,50.12,0.30,418.20
16,17.20,0.09,49.39,0.41,391.60
17,8.80,0.12,46.65,0.37,400.78
18,12.20,0.12,48.93,0.34,394.89
19,7.20,0.13,47.70,0.38,392.01
20,6.20,0.12,49.51,0.42,391.39
21,4.60,0.12,44.47,0.33,378.67
22,5.80,0.10,43.27,0.53,368.77
23,6.40,0.09,44.21,0.45,373.55
24,1.80,0.10,42.63,0.35,358.60
25,8.00,0.09,39.46,0.38,322.15
26,6.00,0.10,40.66,0.42,343.07
27,2.00,0.10,37.22,0.25,356.87
28,2.00,0.09,38.66,0.33,350.27
29,1.80,0.10,36.54,0.36,314.10
30,1.00,0.10,38.40,0.32,331.72
31,1.40,0.10,34.21,0.25,305.96
32,1.40,0.10,33.78,0.24,319.20
33,0.60,0.09,32.68,0.30,311.70
34,0.80,0.09,32.16,0.39,306.81
35,0.60,0.09,29.56,0.25,313.77
36,0.40,0.10,31.14,0.33,308.09
37,1.00,0.10,30.00,0.33,290.92
38,0.20,0.08,23.63,0.41,300.18
39,0.20,0.10,24.59,0.24,309.65
40,0.40,0.10,24.07,0.43,286.49
41,0.40,0.10,28.11,0.35,282.22
42,0.20,0.10,20.63,0.36,262.01
43,0.80,0.10,20.97,0.31,272.28
44,0.20,0.10,17.37,0.34,268.03
45,0.00,0.08,19.58,0.29,271.35
46,0.40,0.10,17.47,0.36,261.74
47,0.40,0.10,14.06,0.39,229.35
48,0.00,0.10,11.21,0.49,249.48
49,0.00,0.09,13.14,0.40,253.85
50,0.40,0.10,13.51,0.36,242.05
51,0.00,0.10,12.23,0.34,239.41
52,0.00,0.09,4.09,0.40,256.54
53,0.20,0.11,8.90,0.42,218.16
54,0.20,0.09,6.48,0.33,225.31
55,0.00,0.09,6.63,0.25,217.47
56,0.20,0.10,4.39,0.39,204.03
57,0.00,0.09,3.01,0.44,215.34
58,0.00,0.10,3.00,0.38,201.87
59,0.20,0.10,3.25,0.42,197.02
