Pruning_Amount,Accuracy,Model_Size_MB,Computation_Time, Number Of Filters
0.98,84.3011,491.7203,10.7254, 2752
0.96,48.1452,70.7135,1.8819, 110
0.94,54.1039,73.8497,2.3798, 165
0.92,61.0797,78.5326,2.9369, 220
0.90,62.0520,84.0424,3.2473, 275
0.80,68.9964,79.9699,5.0520, 550
0.70,71.2052,86.1589,7.4779, 825
0.60,71.5278,121.3111,8.8423, 1100
0.50,71.5278,180.4658,9.5226, 1376
0.40,73.2482,248.8086,10.0182, 1651
0.30,73.8306,307.6104,11.6346, 1926
0.20,71.8952,367.9903,11.6115, 2201
0.10,71.3799,425.6634,12.0275, 2476
0.00,84.3011,491.7203,11.8073,2752
