Pruning_Amount,Accuracy,Model_Size_MB,Computation_Time, Number Of Filters
0.98,32.7867,68.3865,2.4519, 52
0.96,43.5842,74.5519,2.9547, 108
0.94,55.6989,75.3781,3.5082, 162
0.92,56.4695,75.4843,3.7236, 217
0.90,60.3943,80.1957,4.2724, 272
0.80,64.5520,81.4360,6.2452, 547
0.70,67.5358,88.3900,8.4433, 824
0.60,66.8235,135.4654,9.1831, 1099
0.50,64.9462,177.9808,9.2504, 1373
0.40,63.3557,241.9049,10.0672, 1648
0.30,67.5134,297.7780,11.5830, 1923
0.20,64.1353,367.3687,12.2971, 2199
0.10,67.8271,426.3170,12.2620, 2474
0.00,84.3011,491.7203,12.2752,2752
