Adjusted p values,View accuracies %,Weighted accuracy %,Required global accuracy,Model sizes, Max sizes,Inference time
[0.591 0.518 0.52  0.467 0.448 0.567 0.596 0.507 0.494 0.511 0.452 0.513], [59.06 65.44 65.29 69.2  70.52 61.27 58.52 66.27 67.29 65.97 70.2  65.82], 66.96, 65.29, [177.  205.8 205.1 227.6 236.5 186.1 174.9 210.3 216.  208.7 234.2 207.9], [253.5 253.7 292.8 283.6 272.5 277.9 246.4 253.9 304.9 326.7 310.4 259.9], 1.45

[0.323 0.315 0.321 0.322 0.309 0.359 0.327 0.32  0.321 0.31  0.337 0.311], [77.29 77.66 77.4  77.35 77.89 75.63 77.12 77.43 77.41 77.87 76.66 77.81], 77.37, 77.37, [297.5 301.9 298.8 298.1 304.9 279.2 295.4 299.2 298.8 304.5 290.1 303.8], [297.5 312.3 302.6 298.2 367.  279.2 295.5 303.9 299.5 313.2 290.1 307.8], 1.32

[0.429 0.472 0.499 0.438 0.392 0.586 0.417 0.671 0.579 0.508 0.479 0.475], [71.74 68.89 66.86 71.16 73.89 59.46 72.42 50.62 60.21 66.22 68.34 68.63], 67.99, 66.17, [245.2 225.7 213.6 241.  262.8 178.6 250.5 148.8 181.6 210.  222.3 224. ], [304.9 240.3 262.3 257.1 293.7 241.7 299.3 292.3 281.7 279.2 266.4 296.6], 1.54

[0.526 0.537 0.561 0.548 0.521 0.365 0.536 0.466 0.556 0.529 0.529 0.499], [64.75 63.91 61.79 62.95 65.19 75.33 63.94 69.3  62.22 64.57 64.5  66.9 ], 64.46, 61.79, [202.3 198.1 188.3 193.6 204.5 276.2 198.3 228.3 190.3 201.4 201.  213.8], [311.1 260.6 275.2 309.2 286.  285.7 288.5 312.1 251.8 257.3 261.4 317.2], 1.48

[0.642 0.668 0.643 0.643 0.645 0.642 0.645 0.643 0.644 0.645 0.645 0.654], [53.86 50.98 53.78 53.78 53.56 53.86 53.49 53.68 53.66 53.56 53.48 52.52], 53.37, 58.77, [158.6 149.8 158.3 158.3 157.6 158.6 157.4 158.  157.9 157.6 157.4 154.4], [161.9 129.9 151.2 166.2 157.  150.  155.7 168.2 156.4 151.9 153.5 133.9], 1.64

