"  View  ","Pruning Amount","Model Size","Device Memory Size","Inference Time","Violated Model Size","Device Performance",Importance,Importance
0,0.986,80.28,128.00,40.3145,,0.052,,
1,0.989,80.02,128.00,40.0791,,0.052,,
2,0.989,79.97,256.00,38.5917,,0.104,,
3,0.719,125.18,512.00,67.9777,,0.067,,
4,0.680,135.64,512.00,73.5517,,0.067,,
5,0.758,115.90,256.00,61.2654,,0.104,,
6,0.990,79.91,256.00,38.5390,,0.104,,
7,0.989,79.99,256.00,38.6105,,0.104,,
8,0.990,79.94,512.00,39.6012,,0.067,,
9,0.989,80.00,512.00,39.6479,,0.067,,
10,0.680,135.75,256.00,71.6951,,0.104,,
11,0.990,79.91,256.00,38.5429,,0.104,,
