"  View  ","Pruning Amount","Model Size","Device Memory Size","Inference Time","Violated Model Size","Device Performance",Importance
0,0.680,135.76,256,71.8179,,0.10,0.072
1,0.599,160.49,256,84.3644,,0.10,0.105
2,0.986,80.27,128,40.3362,,0.05,0.079
3,0.989,79.96,128,40.0631,,0.05,0.077
4,0.985,80.33,128,40.3891,,0.05,0.078
5,0.440,223.44,256,116.0043,,0.10,0.086
6,0.679,135.96,256,71.9230,,0.10,0.091
7,0.420,232.64,256,120.6899,,0.10,0.087
8,0.480,205.73,512,109.8461,,0.07,0.086
9,0.459,214.68,512,114.4771,,0.07,0.076
10,0.475,207.64,256,108.0101,,0.10,0.083
11,0.440,223.39,256,115.9753,,0.10,0.079
