Pruning Amount, Final Accuracy, Time, Memory
58%, 6.055555555555556%,0.016158660252888996, 141.00799942016602
10%, 53.55555555555555%,0.019351720809936523, 219.48838424682617
25%, 44.0%,0.01739025115966797, 192.97466659545898
8%, 56.888888888888886%,0.015849192937215168, 218.68651580810547
46%, 22.222222222222225%,0.016612768173217773, 166.77188110351562
37%, 24.916666666666668%,0.016408840815226238, 178.48385620117188
54%, 14.222222222222221%,0.016443967819213867, 151.4286766052246
4%, 57.94444444444445%,0.017476876576741535, 229.45275497436523
29%, 40.02777777777778%,0.01836983362833659, 189.6050682067871
34%, 39.52777777777778%,0.02026216189066569, 183.41183471679688
49%, 16.25%,0.016843875249226887, 154.21542739868164
7%, 55.52777777777778%,0.017947038014729817, 225.08610153198242
57%, 8.361111111111112%,0.02098393440246582, 141.70635604858398
26%, 41.55555555555555%,0.016603469848632812, 191.78338623046875
13%, 52.611111111111114%,0.015895366668701172, 212.7522964477539
38%, 34.166666666666664%,0.017251094182332356, 175.60602951049805
45%, 26.63888888888889%,0.01617741584777832, 160.82213973999023
56%, 11.25%,0.017185449600219727, 153.47233200073242
6%, 57.44444444444445%,0.016529083251953125, 221.82178115844727
48%, 21.0%,0.017629384994506836, 164.33596420288086
35%, 25.972222222222225%,0.018539985020955402, 175.36706161499023
44%, 21.333333333333332%,0.01846472422281901, 165.88783264160156
39%, 30.805555555555557%,0.01745883623758952, 177.61633682250977
12%, 49.25%,0.01836570103963216, 213.56716537475586
27%, 37.25%,0.018384456634521484, 192.11303329467773
47%, 23.416666666666668%,0.019031842549641926, 161.73212051391602
9%, 57.5%,0.01802833875020345, 218.0331268310547
24%, 43.69444444444445%,0.017049551010131836, 197.13354110717773
11%, 50.30555555555555%,0.018792152404785156, 220.84917831420898
59%, 6.888888888888889%,0.018503348032633465, 144.3116569519043
28%, 35.833333333333336%,0.017757336298624676, 189.25739669799805
5%, 52.72222222222222%,0.018481731414794922, 225.98486328125
55%, 14.0%,0.015705188115437824, 149.1729965209961
36%, 31.916666666666668%,0.016122738520304363, 184.248779296875
51%, 17.61111111111111%,0.016065597534179688, 152.90703964233398
19%, 50.30555555555555%,0.016327699025472004, 203.9564666748047
1%, 57.27777777777778%,0.01587986946105957, 231.7508659362793
32%, 40.47222222222222%,0.015587488810221354, 187.01320266723633
43%, 26.75%,0.016029516855875652, 161.63621139526367
15%, 48.333333333333336%,0.017083088556925457, 212.43941497802734
20%, 50.138888888888886%,0.015056848526000977, 203.2796974182129
