Pruning Amount, Pre Fine Tuning Accuracy, Inference Time Pre Pruning, Final Accuracy, Compute Time, Model Size
0,48.40,0.04,51.07,0.17,506.83
1,49.20,0.08,61.81,0.33,500.79
2,51.80,0.05,56.92,0.16,492.45
3,43.40,0.05,60.24,0.32,490.88
4,45.80,0.29,61.70,0.16,482.55
5,40.60,0.05,59.15,0.17,475.90
6,43.00,0.05,54.51,0.20,464.58
7,31.20,0.05,54.29,0.20,459.91
8,32.00,0.04,53.52,0.16,474.25
9,24.40,0.27,54.19,0.19,454.80
10,24.40,0.04,53.78,0.15,450.34
11,26.00,0.12,51.75,0.15,438.78
12,21.80,0.04,59.38,0.17,435.30
13,19.40,0.05,51.75,0.15,427.04
14,12.60,0.05,56.48,0.19,423.18
15,15.60,0.04,52.41,0.18,410.50
16,10.20,0.05,54.19,0.16,423.55
17,13.20,0.05,47.99,0.19,414.66
18,9.60,0.04,55.02,0.15,414.35
19,8.20,0.05,46.11,0.20,391.28
20,6.60,0.05,52.71,0.19,375.48
21,6.40,0.04,53.11,0.38,373.20
22,4.00,0.05,54.72,0.24,391.71
23,4.60,0.04,51.86,0.18,365.96
24,2.60,0.05,48.80,0.32,381.24
25,4.00,0.04,51.56,0.22,360.07
26,1.80,0.04,43.88,0.16,358.88
27,1.60,0.05,48.85,0.28,335.71
28,3.60,0.05,39.94,0.22,356.26
29,0.60,0.05,45.75,0.15,328.37
30,0.80,0.04,41.78,0.16,331.76
31,0.40,0.04,47.48,0.26,328.11
32,0.80,0.05,36.36,0.41,326.89
33,0.40,0.05,45.08,0.19,308.67
34,0.80,0.05,42.77,0.24,320.50
35,0.20,0.07,44.52,0.16,320.88
36,0.40,0.05,37.29,0.18,319.54
37,0.40,0.04,34.40,0.17,313.63
38,0.00,0.05,42.67,0.27,303.39
39,0.00,0.04,44.31,0.28,285.48
40,0.60,0.05,45.76,0.18,283.38
41,0.00,0.04,38.39,0.15,289.73
42,0.80,0.05,41.93,0.20,266.64
43,0.20,0.04,39.27,0.18,263.71
44,0.40,0.05,41.62,0.20,288.50
45,0.20,0.05,33.08,0.26,276.77
46,0.00,0.05,41.52,0.21,275.57
47,0.20,0.04,37.54,0.16,251.66
48,0.00,0.04,25.26,0.16,249.59
49,0.20,0.04,28.06,0.21,252.14
50,0.00,0.04,32.89,0.16,219.16
51,0.20,0.05,23.55,0.20,239.33
52,0.20,0.05,2.77,0.18,238.21
53,0.20,0.04,1.17,0.17,236.36
54,0.20,0.05,24.14,0.19,220.80
55,0.00,0.04,26.54,0.20,205.92
56,0.00,0.05,21.37,0.37,209.50
