Pruning Amount, Pre Fine Tuning Accuracy, Final Accuracy, Inference Time Pre Pruning, Compute Time, Model Size
0.00,50.00,51.84,0.10,0.40,506.83
1.00,48.20,56.29,0.13,0.36,500.74
2.00,46.00,60.28,0.10,0.35,494.70
3.00,38.20,57.30,0.10,0.36,485.60
4.00,43.40,56.07,0.09,0.28,484.82
5.00,38.00,57.66,0.09,0.33,469.09
6.00,43.20,56.37,0.09,0.37,469.65
7.00,26.40,54.80,0.11,0.38,469.80
8.00,30.60,54.46,0.12,0.37,447.85
9.00,33.40,53.23,0.09,0.50,447.96
10.00,33.20,55.32,0.10,0.32,449.39
11.00,30.20,54.09,0.08,0.29,434.41
12.00,18.60,49.35,0.10,0.23,430.62
13.00,23.20,47.13,0.09,0.23,428.42
14.00,13.40,49.23,0.09,0.42,416.62
15.00,6.40,50.12,0.09,0.30,418.20
16.00,17.20,49.39,0.09,0.41,391.60
17.00,8.80,46.65,0.12,0.37,400.78
18.00,12.20,48.93,0.12,0.34,394.89
19.00,7.20,47.70,0.13,0.38,392.01
20.00,6.20,49.51,0.12,0.42,391.39
21.00,4.60,44.47,0.12,0.33,378.67
22.00,5.80,43.27,0.10,0.53,368.77
23.00,6.40,44.21,0.09,0.45,373.55
24.00,1.80,42.63,0.10,0.35,358.60
25.00,8.00,39.46,0.09,0.38,322.15
26.00,6.00,40.66,0.10,0.42,343.07
27.00,2.00,37.22,0.10,0.25,356.87
28.00,2.00,38.66,0.09,0.33,350.27
29.00,1.80,36.54,0.10,0.36,314.10
30.00,1.00,38.40,0.10,0.32,331.72
31.00,1.40,34.21,0.10,0.25,305.96
32.00,1.40,33.78,0.10,0.24,319.20
33.00,0.60,32.68,0.09,0.30,311.70
34.00,0.80,32.16,0.09,0.39,306.81
35.00,0.60,29.56,0.09,0.25,313.77
36.00,0.40,31.14,0.10,0.33,308.09
37.00,1.00,30.00,0.10,0.33,290.92
38.00,0.20,23.63,0.08,0.41,300.18
39.00,0.20,24.59,0.10,0.24,309.65
40.00,0.40,24.07,0.10,0.43,286.49
41.00,0.40,28.11,0.10,0.35,282.22
42.00,0.20,20.63,0.10,0.36,262.01
43.00,0.80,20.97,0.10,0.31,272.28
44.00,0.20,17.37,0.10,0.34,268.03
45.00,0.00,19.58,0.08,0.29,271.35
46.00,0.40,17.47,0.10,0.36,261.74
47.00,0.40,14.06,0.10,0.39,229.35
48.00,0.00,11.21,0.10,0.49,249.48
49.00,0.00,13.14,0.09,0.40,253.85
50.00,0.40,13.51,0.10,0.36,242.05
51.00,0.00,12.23,0.10,0.34,239.41
52.00,0.00,4.09,0.09,0.40,256.54
53.00,0.20,8.90,0.11,0.42,218.16
54.00,0.20,6.48,0.09,0.33,225.31
55.00,0.00,6.63,0.09,0.25,217.47
56.00,0.20,4.39,0.10,0.39,204.03
57.00,0.00,3.01,0.09,0.44,215.34
58.00,0.00,3.00,0.10,0.38,201.87
59.00,0.20,3.25,0.10,0.42,197.02
