Pruning Amount, Pre Fine Tuning Accuracy, Final Accuracy,Post Fine-Tuning Time [s], Size [MB]
0.00,58.20,51.80,0.12536243438720700,527.79
1.00,51.95,56.70,0.12692512989044200,518.61
2.00,45.70,61.60,0.12848782539367700,509.43
3.00,45.45,60.15,0.12457728385925300,500.65
4.00,45.20,58.70,0.12066674232482900,491.88
5.00,40.05,58.05,0.12373042106628400,483.57
6.00,34.90,57.40,0.12679409980773900,475.26
7.00,33.25,54.65,0.12269413471221900,456.60
8.00,31.60,51.90,0.11859416961669900,437.93
9.00,25.75,50.40,0.12522578239440900,442.07
10.00,19.90,48.90,0.13185739517211900,446.21
11.00,18.55,48.65,0.11358010768890400,442.47
12.00,17.20,48.40,0.09530282020568850,438.72
13.00,14.30,48.70,0.1084198951721190,426.80
14.00,11.40,49.00,0.12153697013855000,414.88
15.00,12.55,47.65,0.12433433532714800,407.98
16.00,13.70,46.30,0.12713170051574700,401.08
17.00,9.30,45.00,0.12251746654510500,387.92
18.00,4.90,43.70,0.11790323257446300,374.76
19.00,4.55,40.95,0.12306392192840600,378.91
20.00,4.20,38.20,0.12822461128234900,383.07
21.00,2.85,38.80,0.12578964233398400,368.73
22.00,1.50,39.40,0.12335467338562000,354.40
23.00,1.90,39.05,0.12049591541290300,350.47
24.00,2.30,38.70,0.11763715744018600,346.55
25.00,2.20,37.25,0.09901022911071800,349.44
26.00,2.10,35.80,0.08038330078125000,352.33
27.00,1.70,30.70,0.08116793632507320,340.78
28.00,1.30,25.60,0.08195257186889650,329.23
29.00,0.80,27.35,0.0918596982955932,322.25
30.00,0.30,29.10,0.10176682472229000,315.27
31.00,0.40,26.65,0.11000907421112000,303.75
32.00,0.50,24.20,0.11825132369995100,292.24
33.00,0.40,19.85,0.11774992942810000,292.88
34.00,0.30,15.50,0.11724853515625000,293.51
35.00,0.30,14.50,0.09666740894317620,289.39
36.00,0.30,13.50,0.0760862827301025,285.27
37.00,0.15,11.90,0.09974300861358620,281.86
38.00,0.00,10.30,0.12339973449707000,278.44
39.00,0.00,10.55,0.12210798263549800,272.90
40.00,0.00,10.80,0.12081623077392600,267.37
41.00,0.10,7.30,0.12260091304779000,268.63
42.00,0.20,3.80,0.12438559532165500,269.90
43.00,0.15,3.40,0.12070178985595700,255.49
44.00,0.10,3.00,0.11701798439025900,241.09
45.00,0.15,2.50,0.12003183364868100,247.74
46.00,0.20,2.00,0.12304568290710400,254.38
47.00,0.10,1.80,0.12088656425476000,236.21
48.00,0.00,1.60,0.11872744560241700,218.04
49.00,0.00,1.00,0.11660528182983400,221.21
50.00,0.00,0.40,0.11448311805725100,224.37
51.00,0.10,0.60,0.11834418773651100,218.36
52.00,0.20,0.80,0.12220525741577100,212.34
53.00,0.15,0.80,0.12018561363220200,206.30
54.00,0.10,0.80,0.11816596984863300,200.27
55.00,0.15,0.50,0.11904931068420400,204.95
56.00,0.20,0.20,0.11993265151977500,209.64
57.00,0.15,0.25,0.11467444896698000,201.28
58.00,0.10,0.30,0.10941624641418500,192.91
