pruning_amount,pre_acc,pre_comp_time,post_acc, Compute Time, Model Size
0,55.2,0.08,55.4,0.41,548.05
1,51.6,0.09,57.66,0.39,541.78
2,49.2,0.1,60.27,0.47,526.01
3,44.2,0.1,60.9,0.36,527.34
4,41.6,0.1,58.09,0.42,525.64
5,41.4,0.11,58.79,0.52,505.03
6,34.4,0.11,59.76,0.41,502.11
7,21.4,0.1,57.81,0.44,491.72
8,29.2,0.1,54.75,0.45,479.3
9,27.6,0.1,52.32,0.42,473.62
10,23.2,0.11,53.42,0.35,478.35
11,17.8,0.1,50.23,0.43,463.3
12,12.6,0.09,51.6,0.41,446.51
13,9.8,0.09,51.06,0.45,442.42
14,12.4,0.12,49.7,0.4,428.23
15,8.6,0.1,48.15,0.41,429.88
16,8.2,0.1,45.18,0.38,419.8
17,4.4,0.1,44.07,0.37,403.13
18,3.8,0.1,43.69,0.41,387.02
19,4.6,0.09,45.29,0.35,406.89
20,2.6,0.11,44.5,0.41,394.18
21,1.2,0.1,40.9,0.38,371.26
22,1.6,0.11,41.27,0.39,383.37
23,1.0,0.1,42.81,0.49,375.44
24,0.8,0.11,39.21,0.34,381.57
25,0.0,0.09,37.08,0.35,376.48
26,0.2,0.1,33.56,0.33,375.19
27,0.6,0.1,36.36,0.4,361.79
28,0.4,0.11,31.19,0.36,355.51
29,0.4,0.1,31.26,0.37,334.67
30,0.4,0.11,29.1,0.37,313.84
31,0.0,0.1,23.27,0.44,330.12
32,0.4,0.11,28.69,0.31,341.18
33,0.2,0.11,22.61,0.47,314.07
34,0.2,0.1,6.63,0.35,343.04
35,0.2,0.11,18.73,0.37,297.64
36,0.0,0.09,15.8,0.43,300.42
37,0.0,0.09,15.73,0.4,289.3
38,0.2,0.1,9.86,0.3,287.53
39,0.4,0.13,7.1,0.35,307.23
40,0.0,0.1,9.92,0.34,302.83
41,0.2,0.1,8.42,0.38,269.93
42,0.0,0.1,6.43,0.37,283.15
43,0.0,0.1,3.23,0.37,267.69
44,0.0,0.1,2.27,0.42,266.79
45,0.4,0.1,2.16,0.38,256.36
46,0.0,0.09,1.76,0.36,247.64
47,0.2,0.11,1.85,0.37,263.6
48,0.0,0.1,0.9,0.36,219.61
49,0.2,0.09,1.22,0.42,255.81
50,0.2,0.09,1.09,0.39,232.1
51,0.0,0.12,0.91,0.42,241.39
52,0.2,0.1,1.05,0.33,231.62
53,0.2,0.09,0.58,0.34,222.34
54,0.0,0.14,0.15,0.38,217.98
55,0.4,0.1,0.52,0.34,221.12
56,0.6,0.09,0.66,0.29,198.27
57,0.2,0.09,0.34,0.41,201.32
58,0.0,0.1,0.35,0.39,214.34
59,0.2,0.1,0.27,0.5,199.25
